target_fold,method,calibration_train_folds,calibration_train_events,target_events,mapping_non_decreasing,mapping_direction,sigmoid_slope,sigmoid_intercept,isotonic_threshold_count,roc_auc,average_precision,brier_score,log_loss,expected_calibration_error,mean_predicted_score,observed_positive_fraction,auc_drop_vs_raw,brier_improvement_vs_raw,logloss_improvement_vs_raw,used_for_method_selection,confirmation_only,unseen_test_used
2,raw_identity,1,10344,10408,True,increasing,1.0,0.0,,0.4853846305916497,0.47575244360333524,0.2757712686743605,0.7491543563384386,0.1542471170820565,0.5733044859248111,0.46666026133743277,0.0,0.0,0.0,True,False,False
2,sigmoid_platt,1,10344,10408,True,increasing,0.09655542860709328,-0.5076431293883832,,0.4853846305916497,0.47575244360333524,0.256225135095369,0.7061582516955464,0.08792202654236243,0.38296638176075615,0.46666026133743277,0.0,0.019546133578991542,0.042996104642892274,True,False,False
2,isotonic,1,10344,10408,True,non_decreasing,,,29.0,0.5088394225080501,0.4764198819836267,0.25580625568213083,0.7064459009338128,0.15958247894183006,0.38309732142299474,0.46666026133743277,-0.02345479191640043,0.01996501299222969,0.04270845540462587,True,False,False
3,raw_identity,"1,2",20752,10397,True,increasing,1.0,0.0,,0.6376114941094992,0.8220758365196053,0.28251349441075163,0.7617922482313254,0.3042740259787847,0.422089348071422,0.7263633740502068,0.0,0.0,0.0,True,False,False
3,sigmoid_platt,"1,2",20752,10397,False,decreasing,-0.0333259419232511,-0.2844112892186859,,0.3623885058905007,0.6400342323465745,0.2863189536743848,0.7662983167551046,0.2943144893900013,0.4320488846602055,0.7263633740502068,0.27522298821899854,-0.003805459263633182,-0.004506068523779216,True,False,False
3,isotonic,"1,2",20752,10397,True,non_decreasing,,,23.0,0.5696370193023741,0.7585994000814604,0.29554814057479234,0.8802416870403164,0.3186351575957009,0.4077282164545059,0.7263633740502068,0.06797447480712515,-0.013034646164040709,-0.11844943880899095,True,False,False
4,raw_identity,"1,2,3",31149,10319,True,increasing,1.0,0.0,,0.5054791382050221,0.8985324957321735,0.23599251150741984,0.6578758196491604,0.329625146154667,0.5584454033171811,0.888070549471848,0.0,0.0,0.0,True,False,False
4,sigmoid_platt,"1,2,3",31149,10319,False,decreasing,-0.3136900931045809,0.15119232339833125,,0.4945208617949779,0.8894518233732935,0.2448115489074528,0.6834167091498821,0.37456319562312573,0.5135073538487224,0.888070549471848,0.01095827641004421,-0.008819037400032953,-0.025540889500721642,True,False,False
4,isotonic,"1,2,3",31149,10319,True,non_decreasing,,,27.0,0.5033116127288978,0.8942874214709428,0.21536159302180433,0.6203111280324207,0.3337722979663,0.5542982515055479,0.888070549471848,0.00216752547612431,0.020630918485615518,0.0375646916167397,True,False,False
5,raw_identity,"1,2,3,4",41468,10372,True,increasing,1.0,0.0,,0.6050366653873388,0.6167077813609048,0.28720456631074054,0.8022088424907312,0.20018943593572613,0.7073240290710906,0.5071345931353645,0.0,0.0,0.0,False,True,False
5,sigmoid_platt,"1,2,3,4",41468,10372,False,decreasing,-0.08251678254754706,0.49001613564505636,,0.3949633346126612,0.43796530648144505,0.26218429143281474,0.7182212099297732,0.1307307768956273,0.5996159896087558,0.5071345931353645,0.2100733307746776,0.025020274877925797,0.08398763256095798,False,True,False
5,isotonic,"1,2,3,4",41468,10372,True,non_decreasing,,,60.0,0.5948861286646792,0.5896071209123729,0.2786286150437559,0.8061217882893472,0.21620013878612612,0.6969639281314521,0.5071345931353645,0.010150536722659642,0.008575951266984627,-0.003912945798616008,False,True,False
