model_name,trial_number,objective_value,policy_complete,false_positive,precision,min_fold_specificity,std_fold_specificity,mean_average_precision,mean_roc_auc,policy_selection_rank,selected_by_policy_hierarchy
random_forest,8,0.5039272564036843,True,1079,0.6422413793103449,0.9333333333333333,0.007231530859529599,0.6117645118320076,0.5039272564036843,1,True
random_forest,9,0.509677685508198,True,1080,0.6419098143236074,0.935930735930736,0.00582462284351779,0.6120565705634144,0.509677685508198,2,False
random_forest,1,0.519242630359152,True,1085,0.6402519893899205,0.9393939393939394,0.004288993281811348,0.6194467505904879,0.519242630359152,3,False
random_forest,6,0.5138314617983949,True,1088,0.6392572944297082,0.935930735930736,0.006233378044396362,0.6178201964689845,0.5138314617983949,4,False
random_forest,4,0.5165108676717376,True,1098,0.6359416445623343,0.9393939393939394,0.003919900992480711,0.6130520348174556,0.5165108676717376,5,False
random_forest,24,0.520762959997645,True,1102,0.6346153846153846,0.9376623376623376,0.005278406458691975,0.6258442361884711,0.520762959997645,6,False
random_forest,23,0.5209471386609137,True,1103,0.6342838196286472,0.9367965367965368,0.005056930423825438,0.6259793879201854,0.5209471386609137,7,False
random_forest,3,0.5165094092467519,True,1103,0.6342838196286472,0.935930735930736,0.005727884872918877,0.6166285211244183,0.5165094092467519,8,False
random_forest,18,0.5095879914968272,True,1103,0.6342838196286472,0.9307359307359307,0.007394882677501615,0.6170875211742336,0.5095879914968272,9,False
random_forest,29,0.5191643179480668,True,1112,0.6312997347480106,0.9333333333333333,0.007248393466426658,0.6255413006129888,0.5191643179480668,10,False
random_forest,19,0.5205145851533992,True,1114,0.6306366047745358,0.9402597402597402,0.004625739272282527,0.6263020252597711,0.5205145851533992,11,False
random_forest,5,0.5205044273805223,True,1114,0.6306366047745358,0.9367965367965368,0.0050083928206308,0.6255641895072991,0.5205044273805223,12,False
random_forest,15,0.5091187115642481,True,1115,0.6303050397877984,0.9333333333333333,0.0059243098269434625,0.6140724566143567,0.5091187115642481,13,False
random_forest,22,0.5158867714266029,True,1119,0.6289787798408488,0.922943722943723,0.010542435391791501,0.6155366953060898,0.5158867714266029,14,False
random_forest,25,0.5216205582039584,True,1123,0.6276525198938993,0.9333333333333333,0.005988744196256784,0.6259337063360005,0.5216205582039584,15,False
random_forest,17,0.5195446097384095,True,1129,0.6256631299734748,0.9385281385281385,0.0050064053194143615,0.623828960599566,0.5195446097384095,16,False
random_forest,7,0.5098143180963199,True,1129,0.6256631299734748,0.9333333333333333,0.005583465572216537,0.6125562658304475,0.5098143180963199,17,False
random_forest,28,0.516412517367475,True,1130,0.6253315649867374,0.929004329004329,0.008473880934575772,0.6222253964341858,0.516412517367475,18,False
random_forest,13,0.5216517341409527,True,1131,0.625,0.9281385281385282,0.008227274454411905,0.6249474804568271,0.5216517341409527,19,False
random_forest,26,0.5204171474667584,True,1135,0.6236737400530504,0.9367965367965368,0.005090559229093906,0.6239509021107815,0.5204171474667584,20,False
random_forest,10,0.5224301463781142,True,1135,0.6236737400530504,0.9333333333333333,0.00621615997248346,0.6266335526794486,0.5224301463781142,21,False
random_forest,12,0.5243022602759995,True,1135,0.6236737400530504,0.9333333333333333,0.006330001765080127,0.6273037821911481,0.5243022602759995,22,False
random_forest,21,0.5239763467527704,True,1137,0.6230106100795756,0.9341991341991343,0.005965567667805954,0.6241808924888627,0.5239763467527704,23,False
random_forest,11,0.5224456100931114,True,1137,0.6230106100795756,0.9298701298701298,0.0074970215771946475,0.6271735704525438,0.5224456100931114,24,False
random_forest,14,0.5221754801040714,True,1139,0.6223474801061007,0.935930735930736,0.005659949912506141,0.6251487906134471,0.5221754801040714,25,False
random_forest,20,0.5153092526826208,True,1141,0.621684350132626,0.9307359307359307,0.0071629476910853775,0.62504382403339,0.5153092526826208,26,False
random_forest,2,0.52189787713257,True,1143,0.6210212201591512,0.9341991341991343,0.005986284207770884,0.6262288979393654,0.52189787713257,27,False
random_forest,0,0.5161844928645352,True,1143,0.6210212201591512,0.9307359307359307,0.0073144141594365325,0.6202698373994396,0.5161844928645352,28,False
random_forest,16,0.5129534984438857,True,1178,0.6094164456233422,0.9264069264069265,0.00900366271301183,0.6210443829198151,0.5129534984438857,29,False
random_forest,27,0.5396832138040354,True,1213,0.5978116710875332,0.9272727272727272,0.01052457808147113,0.6390585218712861,0.5396832138040354,30,False
